r,w,u,l
16,25,51.26,45.6
32,25,50.99,46.0
64,25,51.35,46.2
100,25,51.52,46.39
128,25,51.95,46.76
150,25,51.67,46.64
200,25,49.83,45.14
256,25,48.08,43.43
16,50,51.43,45.61
32,50,50.44,45.18
64,50,51.12,46.05
100,50,51.07,45.59
128,50,48.6,43.82
150,50,50.75,45.96
200,50,49.45,44.46
256,50,51.55,46.6
16,100,48.78,42.74
32,100,50.07,44.82
64,100,50.6,45.42
100,100,50.58,45.51
128,100,50.88,45.67
150,100,50.35,45.2
200,100,49.45,44.56
256,100,51.73,46.41
