r,w,u,l
16,25,48.49,42.81
32,25,50.34,44.85
64,25,46.58,41.77
100,25,48.35,43.72
128,25,52.1,46.73
150,25,48.97,43.9
200,25,48.96,44.3
256,25,49.65,44.74
16,50,46.65,41.22
32,50,47.4,41.78
64,50,50.16,45.09
100,50,47.35,42.27
128,50,49.27,44.55
150,50,50.71,45.86
200,50,49.96,45.06
256,50,50.76,46.13
16,100,48.17,41.64
32,100,46.54,41.0
64,100,47.73,42.74
100,100,48.63,43.82
128,100,52.21,46.73
150,100,49.75,44.72
200,100,49.91,44.88
256,100,49.16,44.16
