r,w,u,l
16,25,49.59,43.75
32,25,47.4,42.07
64,25,48.46,43.35
100,25,49.13,44.2
128,25,46.7,41.95
150,25,49.29,44.31
200,25,50.92,45.82
256,25,49.29,44.54
16,50,47.66,41.83
32,50,47.82,42.52
64,50,47.35,42.39
100,50,49.02,43.92
128,50,48.67,43.72
150,50,49.75,44.74
200,50,48.06,43.19
256,50,49.56,44.61
16,100,47.3,40.72
32,100,48.22,42.55
64,100,46.15,41.03
100,100,49.21,43.42
128,100,50.16,44.67
150,100,49.85,44.56
200,100,48.92,43.53
256,100,49.12,44.08
