r,w,u,l
16,25,48.42,42.88
32,25,48.44,43.52
64,25,49.85,44.63
100,25,51.89,46.96
128,25,49.1,44.26
150,25,52.06,47.24
200,25,50.97,46.36
256,25,51.66,46.75
16,50,47.11,41.81
32,50,46.96,41.97
64,50,49.67,44.59
100,50,48.88,44.22
128,50,50.73,45.94
150,50,50.03,45.08
200,50,49.42,44.94
256,50,50.5,45.85
16,100,48.86,42.77
32,100,46.53,41.45
64,100,48.6,43.65
100,100,48.75,43.91
128,100,48.44,43.8
150,100,51.21,46.23
200,100,50.82,46.02
256,100,48.59,43.97
