r,w,u,l
16,25,51.69,46.62
32,25,51.55,46.86
64,25,50.82,45.94
100,25,51.46,46.48
128,25,48.63,44.18
150,25,51.43,46.55
200,25,49.83,45.22
256,25,50.82,46.05
16,50,50.39,45.19
32,50,51.65,46.42
64,50,46.65,42.32
100,50,50.74,46.03
128,50,50.16,45.09
150,50,51.27,46.28
200,50,46.64,42.27
256,50,50.17,45.57
16,100,49.32,44.04
32,100,51.33,46.06
64,100,49.2,44.34
100,100,51.42,46.29
128,100,46.84,42.41
150,100,49.5,44.78
200,100,52.46,47.17
256,100,48.85,44.55
