r,w,u,l
16,25,49.19,44.29
32,25,50.16,45.15
64,25,45.74,41.34
100,25,45.09,40.47
128,25,44.65,39.81
150,25,45.14,40.24
200,25,49.65,44.74
256,25,46.54,40.11
16,50,50.46,45.02
32,50,49.58,44.89
64,50,48.64,43.67
100,50,52.02,47.0
128,50,50.16,44.91
150,50,49.01,44.37
200,50,50.79,45.78
256,50,50.08,45.39
16,100,49.43,43.87
32,100,50.07,44.95
64,100,47.19,42.75
100,100,46.56,42.09
128,100,50.01,45.08
150,100,46.05,41.72
200,100,50.66,45.81
256,100,50.61,45.95
