r,w,u,l
16,25,48.21,42.81
32,25,48.24,43.07
64,25,49.8,44.48
100,25,44.19,39.67
128,25,45.54,41.03
150,25,50.81,45.92
200,25,49.08,44.27
256,25,48.51,44.04
16,50,47.12,41.38
32,50,50.17,44.83
64,50,48.02,42.91
100,50,49.9,44.77
128,50,48.19,43.04
150,50,47.26,42.47
200,50,47.86,42.91
256,50,48.27,43.76
16,100,44.35,38.9
32,100,47.8,41.94
64,100,48.14,42.56
100,100,48.05,43.12
128,100,49.32,44.08
150,100,48.68,43.84
200,100,47.88,43.15
256,100,47.75,43.0
