r,w,u,l
16,25,50.4,45.67
32,25,52.22,47.17
64,25,51.23,46.33
100,25,50.42,45.65
128,25,48.99,44.6
150,25,50.11,45.41
200,25,52.14,47.25
256,25,52.01,47.23
16,50,51.45,46.2
32,50,50.89,46.06
64,50,50.39,45.51
100,50,50.51,45.54
128,50,49.32,44.91
150,50,51.67,46.81
200,50,49.95,45.04
256,50,50.1,45.33
16,100,49.07,44.29
32,100,50.21,45.06
64,100,50.94,45.88
100,100,51.08,46.01
128,100,49.41,44.68
150,100,51.0,45.95
200,100,50.88,45.94
256,100,49.42,44.81
