r,w,u,l
16,25,50.14,44.75
32,25,50.53,45.02
64,25,49.9,44.97
100,25,49.59,45.16
128,25,51.47,46.56
150,25,51.1,46.33
200,25,50.67,45.77
256,25,50.87,46.21
16,50,45.67,40.49
32,50,49.73,44.51
64,50,49.0,43.74
100,50,49.35,44.52
128,50,49.56,44.64
150,50,51.44,46.33
200,50,50.24,45.56
256,50,49.79,45.09
16,100,45.66,40.04
32,100,46.36,41.2
64,100,49.78,44.71
100,100,49.4,44.52
128,100,49.94,44.89
150,100,48.48,43.54
200,100,48.69,44.3
256,100,51.01,46.32
