r,w,u,l
16,25,48.98,43.71
32,25,52.05,46.3
64,25,50.47,45.24
100,25,49.24,44.16
128,25,48.84,43.94
150,25,48.72,43.84
200,25,50.61,44.89
256,25,50.19,45.04
16,50,49.89,44.19
32,50,51.26,45.85
64,50,48.76,43.82
100,50,48.6,43.78
128,50,50.82,45.53
150,50,50.6,45.61
200,50,49.91,44.81
256,50,52.35,46.93
16,100,49.53,43.36
32,100,50.47,45.12
64,100,47.31,42.26
100,100,47.75,42.87
128,100,48.76,43.61
150,100,49.12,44.47
200,100,50.23,45.47
256,100,49.83,44.88
