r,w,u,l
16,25,52.09,47.07
32,25,50.74,45.89
64,25,49.93,45.19
100,25,49.95,45.18
128,25,47.82,43.01
150,25,44.31,39.37
200,25,49.16,44.11
256,25,49.97,45.24
16,50,51.36,46.22
32,50,51.43,46.4
64,50,47.93,43.21
100,50,48.89,43.97
128,50,46.74,42.45
150,50,47.09,42.6
200,50,49.96,45.06
256,50,48.03,43.44
16,100,50.07,44.88
32,100,48.44,43.65
64,100,49.38,44.36
100,100,49.56,44.56
128,100,50.66,45.89
150,100,49.85,45.05
200,100,50.04,44.82
256,100,52.03,46.85
