embeddingSize	hiddenSize	trainingAcc	devAcc	testAcc	trainingUAS	trainingLAS	devUAS	devLAS	testUAS	testLAS
25.0	32.0	0.8094706078206504	0.6224535127245034	0.6216417910447761	0.5960860322620983	0.5490558959609854	0.4472136057332335	0.38442614183335116	0.44467640918580376	0.38883089770354906
25.0	64.0	0.7930598202064296	0.6150282414165132	0.6187189054726369	0.6174690508940853	0.5621858196823809	0.47908867258530324	0.40646058401968127	0.4839248434237996	0.41920668058455113
25.0	128.0	0.7983056490695868	0.6199784222885067	0.6213930348258706	0.6348005502063274	0.5776541202951107	0.49245908653331905	0.414696759011659	0.4948851774530271	0.42974947807933195
25.0	256.0	0.8055935777440716	0.618011042711176	0.6192786069651741	0.6382643491309241	0.5833562585969738	0.4977002888009413	0.4179056583591828	0.495929018789144	0.4271398747390397
25.0	300.0	0.7988753653212978	0.6207399885765057	0.6263059701492537	0.6350756533700137	0.5769538576966362	0.5013370413948016	0.4247513103005669	0.5037578288100208	0.43183716075156575
50.0	32.0	0.7940660722873738	0.6143301389858475	0.6138681592039801	0.6385644616731274	0.5726272352132049	0.49513316932292223	0.4163012086854209	0.5025052192066806	0.4278705636743215
50.0	64.0	0.8218563871110947	0.6197880307165069	0.6159825870646766	0.6595098161810679	0.6014755533324997	0.5102149962562841	0.4337362284736335	0.5125260960334029	0.4336116910229645
50.0	128.0	0.8152121638119196	0.6272767658818303	0.6287935323383085	0.6598349381017882	0.5987745404526698	0.5174885014440047	0.4378008343138304	0.5186847599164927	0.4432150313152401
50.0	256.0	0.8016647552809737	0.606016373675192	0.6102611940298508	0.660810303863949	0.602438414405402	0.5177024280671729	0.4310621456840304	0.5201461377870563	0.440187891440501
50.0	300.0	0.804616921312567	0.6158532715618455	0.6205845771144278	0.6640990371389272	0.604451669376016	0.5187720611830142	0.4308482190608621	0.5216075156576201	0.43966597077244257
75.0	32.0	0.7475491102807887	0.5798058005965603	0.5857587064676617	0.6548080530198824	0.5438914592972365	0.512675152422719	0.38710022462295435	0.5161795407098121	0.39592901878914405
75.0	64.0	0.8008508749213865	0.6139493558418481	0.6170398009950249	0.6836563711391772	0.5981993247467801	0.5399507968766712	0.43330837522729704	0.5484342379958246	0.4464509394572025
75.0	128.0	0.7970108394066072	0.6204861331471727	0.6223258706467661	0.6772789796173565	0.5951731899462298	0.5398438335650871	0.4407958070381859	0.5490605427974948	0.455741127348643
75.0	256.0	0.7812215604306167	0.6009392650885321	0.6074004975124379	0.6767537826685007	0.5990746529948731	0.535458337790138	0.4365172745748208	0.5479123173277661	0.45041753653444677
