embeddingSize	hiddenSize	trainingAcc	devAcc	testAcc	trainingUAS	trainingLAS	devUAS	devLAS	testUAS	testLAS
5.0	32.0	0.7944804113795272	0.6290537538871612	0.6367537313432836	0.5976741277979242	0.5374765537076404	0.470424644346989	0.4034656112953257	0.472964509394572	0.40897703549060543
5.0	64.0	0.8005475195146313	0.630259567176493	0.6368159203980099	0.6374515443291234	0.5689258471926972	0.5106428495026206	0.4343780083431383	0.5130480167014614	0.4418580375782881
5.0	128.0	0.8155969072546335	0.6362886336231516	0.6345771144278607	0.6568588220582718	0.5898211829436039	0.5239063001390523	0.4432559632046208	0.5237995824634656	0.44676409185803756
5.0	256.0	0.7786541378417373	0.6322269467538237	0.6350124378109453	0.6468175565837189	0.5703638864574215	0.5357792277248904	0.4471066424216494	0.5336116910229645	0.4531315240083507
5.0	300.0	0.8453331360290037	0.6323538744684902	0.6290422885572139	0.6839814930598974	0.6228710766537452	0.5333190715584555	0.44614397261739225	0.537160751565762	0.45073068893528184
10.0	32.0	0.8401390995523658	0.629244145459161	0.6314054726368159	0.6905589596098537	0.6264349130924096	0.5432666595357792	0.45277569793560807	0.5427974947807933	0.4579331941544885
10.0	64.0	0.8254892530797973	0.6321634828964905	0.6409203980099503	0.6869451044141553	0.6168313117419032	0.546475558883303	0.45502192747887477	0.5509394572025053	0.4652400835073069
10.0	128.0	0.8444378676334579	0.6390175794884813	0.6416044776119403	0.6951106664999375	0.6309616106039765	0.5471173387528078	0.45266873462402396	0.552713987473904	0.46670146137787055
10.0	256.0	0.7722244830009989	0.6256267055911658	0.6296641791044776	0.6686132299612355	0.5927097661623109	0.5466894855064712	0.4524548080008557	0.5490605427974948	0.4639874739039666
10.0	300.0	0.8454367208020421	0.6328615853271562	0.6330223880597015	0.7004376641240465	0.6363136176066024	0.5511819445930046	0.4556637073483795	0.5488517745302715	0.4649269311064718
15.0	32.0	0.8557212089822797	0.6337500793298216	0.6343905472636816	0.7075528323121171	0.6403401275478304	0.549042678361322	0.45662637715263665	0.5461377870563674	0.4605427974947808
15.0	64.0	0.8679146165513669	0.6381925493431491	0.6414179104477612	0.7195073152432162	0.6579967487807928	0.5629479088672585	0.4684993047384747	0.5552192066805846	0.4671189979123173
15.0	128.0	0.8386667159927491	0.6332423684711557	0.639179104477612	0.704876828810804	0.637414030261348	0.5561022569258744	0.4627232859129319	0.5577244258872651	0.4670146137787056
15.0	256.0	0.8582960304835189	0.632036555181824	0.6341417910447761	0.71579342253345	0.6553082405902213	0.5525724676435982	0.45823082682639854	0.5575156576200417	0.4651356993736952
15.0	300.0	0.8127335281713588	0.6310845973218252	0.6382462686567164	0.6958734525447042	0.6252094535450794	0.561664349128249	0.46593218526045566	0.5580375782881002	0.46795407098121083
20.0	32.0	0.859879397728534	0.6348289649044869	0.6388059701492538	0.7152432162060772	0.6484681755658371	0.5542838806289443	0.46186757942025886	0.549686847599165	0.46471816283924844
20.0	64.0	0.886012356183641	0.6329885130418227	0.6343283582089553	0.7347880455170689	0.6769038389396024	0.557385816664884	0.465397368702535	0.549686847599165	0.4632567849686848
20.0	128.0	0.876771114646147	0.6305768864631592	0.6345771144278607	0.7314117794172815	0.6736276103538827	0.5584554497807253	0.46186757942025886	0.5524008350730689	0.46471816283924844
20.0	256.0	0.9010543450112833	0.6315288443231579	0.6320895522388059	0.7489183443791422	0.7004376641240465	0.5671194780190395	0.46732270831104933	0.5567849686847599	0.4673277661795407
20.0	300.0	0.8662202656209537	0.6319730913244908	0.6377487562189055	0.7318369388520696	0.6742903588845817	0.5688308910043854	0.472991763825008	0.5597077244258872	0.4700417536534447
5.0	32.0	0.7943916244312086	0.6274036935964968	0.6392412935323383	0.6958359384769288	0.6182318369388521	0.564231468606268	0.4656112953257033	0.5631524008350731	0.4687891440501044
5.0	64.0	0.830061780918205	0.6263248080218315	0.6271144278606965	0.7027510316368638	0.628535700887833	0.5565301101722109	0.4585517167611509	0.5603340292275574	0.46670146137787055
5.0	128.0	0.8218119936369354	0.6326077298978232	0.6358208955223881	0.700450168813305	0.6261348005502063	0.5610225692587443	0.465397368702535	0.5600208768267223	0.46680584551148224
5.0	256.0	0.8181569309311532	0.6301961033191598	0.6330845771144279	0.6953857696636239	0.6221958234337877	0.5640175419830998	0.46700181837629695	0.5582463465553236	0.4680584551148225
5.0	300.0	0.7861640338870186	0.6249286031605001	0.6352611940298507	0.687095160685257	0.6070776541202951	0.5689378543159697	0.4708524975933255	0.5671189979123173	0.4750521920668058
10.0	32.0	0.8621360659982983	0.6332423684711557	0.6269278606965174	0.71759409778667	0.650769038389396	0.5603807893892395	0.4640068456519414	0.5564718162839248	0.46555323590814196
10.0	64.0	0.8234101587066701	0.6355905311924859	0.6409825870646766	0.7044641740652745	0.6257721645617106	0.5661568082147823	0.4677505615573858	0.5618997912317327	0.47171189979123174
10.0	128.0	0.8765417483629906	0.6271498381671639	0.6307835820895522	0.7321495560835313	0.6718394397899212	0.5621991656861697	0.46176061610867475	0.5581419624217119	0.46868475991649267
10.0	256.0	0.8298324146350486	0.6364790251951513	0.641542288557214	0.7110541453044892	0.6423783918969613	0.5638036153599315	0.46839234142689057	0.56419624217119	0.47379958246346554
10.0	300.0	0.866205467796234	0.6352097480484864	0.6319029850746268	0.7266725021883206	0.6665624609228461	0.5641245052946839	0.4651834420793668	0.5581419624217119	0.46795407098121083
15.0	32.0	0.8421442048018941	0.6372405914831504	0.6465796019900497	0.7137926722520945	0.6447542828560711	0.5646593218526046	0.4679644881805541	0.5612734864300626	0.4760960334029228
