embeddingSize	hiddenSize	trainingAcc	devAcc	testAcc	trainingUAS	trainingLAS	devUAS	devLAS	testUAS	testLAS
5.0	32.0	0.8481386535889434	0.5536636976526745	0.5354189310524077	0.6470371224348628	0.5858427484436246	0.36600617183693357	0.2981971739483515	0.34606036848294786	0.2813798510388083
5.0	64.0	0.8342342844404815	0.5558289454259141	0.5364585794622182	0.6674659903158866	0.602167396818077	0.3982458989767744	0.321910021114179	0.37851822814582514	0.3029400235201882
5.0	128.0	0.8501448952296032	0.5423945671964963	0.5231321771182836	0.6883098916301591	0.6280378141572516	0.41229494883872014	0.33425369498132207	0.38526068208545666	0.31109368874951
5.0	256.0	0.8062862238074008	0.559322867969096	0.5429800103964841	0.6734148028591193	0.6044270232879871	0.4323534188728277	0.3467597856098749	0.4161505292042336	0.3336730693845551
5.0	300.0	0.8223640213999108	0.553516067122681	0.5386323897736401	0.6841595572976712	0.6166013373299516	0.4407178820854312	0.34960207893454603	0.41975695805566443	0.33092904743237944
10.0	32.0	0.8496154703522069	0.55361448747601	0.5357024715278106	0.7051879179156099	0.6347705787410652	0.44055546532402146	0.35390612311190517	0.41756174049392397	0.33359466875735005
10.0	64.0	0.8354324565314312	0.5622754785689681	0.5485090496668399	0.6964722158173853	0.6268388286834217	0.44794542796816633	0.3635699204157869	0.42516660133281065	0.34425715405723245
10.0	128.0	0.8593680338831922	0.5549431622459524	0.536033268749114	0.7139036200138345	0.6516947198524325	0.44266688322234854	0.3602403768068865	0.41309290474323795	0.3330458643669149
10.0	256.0	0.8413954525189479	0.5591260272624379	0.5386323897736401	0.7097994005072631	0.6450080700945354	0.440149423420497	0.35439337339613447	0.41583692669541356	0.32959623676989414
10.0	300.0	0.8233392777530094	0.5493332021061955	0.5361277822409148	0.7020982245792022	0.635185612174314	0.44055546532402146	0.3558551242488225	0.4143473147785182	0.3303018424147393
15.0	32.0	0.8434295586268391	0.5521873923527385	0.5365058362081188	0.7108139266774268	0.6411344247175467	0.45062530453142763	0.36430079584213093	0.43190905527244217	0.34880439043512346
15.0	64.0	0.8581141328577797	0.5639486245755623	0.5509664004536647	0.7190223656905695	0.6529398201521789	0.4494071788208543	0.36624979697904825	0.42924343394747155	0.346844374754998
15.0	128.0	0.8530985287561302	0.5606023325623739	0.5397192949293511	0.7163938206133272	0.6551533317961725	0.4494071788208543	0.36495046288777	0.4254802038416307	0.342297138377107
15.0	256.0	0.8667242532322782	0.5460361202696717	0.5277633382165304	0.7271846898777957	0.6703251095227115	0.43885008932921876	0.34911482865031673	0.417718541748334	0.3354762838102705
15.0	300.0	0.8285499331252787	0.5475124255696078	0.5278105949624309	0.713350242102836	0.6462070555683652	0.44185479941529965	0.3529316225434465	0.41716973735789886	0.33179145433163465
20.0	32.0	0.8569716897012929	0.5580926135524826	0.5412315107981664	0.7261240488817154	0.656675121051418	0.4519246386227059	0.3633262952736722	0.42218737749901997	0.3408859270874167
20.0	64.0	0.861875835934017	0.5627183701589489	0.5434525778554888	0.7307355314733687	0.6639612635462301	0.452574305668345	0.36763033945103135	0.42736181889455116	0.34919639357114857
20.0	128.0	0.8567209094962104	0.5590276069091088	0.5409007135768631	0.7270002305741295	0.6668664975789717	0.4472957609225272	0.3608900438525256	0.4206977655821247	0.3407291258330067
20.0	256.0	0.8280205082478823	0.5545002706559716	0.5409479703227635	0.7105833525478441	0.6427945584505419	0.44494071788208545	0.35821016728926425	0.42689141513132106	0.34582516660133283
