loss,trainingAccuracy,validationAccuracy
80.88472,0.02061916962756395,0.01968160246337476
27.598137,0.6831051908894017,0.6834595178007397
14.73405,0.926721685092649,0.9191467072996524
11.67264,0.9352320824427048,0.9268130089043379
10.605442,0.9352887051795649,0.9268130089043379
9.667061,0.9352830429058788,0.926828881164389
8.487736,0.9352264201690189,0.9267812643842357
7.617115,0.9352292513058619,0.9267653921241845
7.147147,0.9351811219795308,0.9267495198641335
6.8152366,0.9403649335390626,0.930479500976144
6.9254293,0.942819529181943,0.9316699204799771
6.416624,0.9513922115425449,0.9411139152103868
6.437621,0.9536457964695724,0.9445899401615796
6.2477574,0.9572696516286114,0.9500817421392632
6.1858726,0.9584870404711012,0.9511928003428408
5.8883915,0.9586455841343091,0.951653095884323
5.808385,0.9601998782611157,0.9530657270288716
5.716221,0.9609020001981796,0.9544624859133692
6.13165,0.9584304177342412,0.9518594352649874
5.9170756,0.9610407259034865,0.9542402742726537
5.1828804,0.9625695397987062,0.9534942780502516
5.0831485,0.9627167589145421,0.9537482342110694
5.383552,0.963144260577835,0.9568433249210355
5.5079865,0.962897951672494,0.9568274526609843
5.4432917,0.9635066460937389,0.9571925146421599
5.487957,0.962999872598842,0.9575258321032332
5.681208,0.9640077573149498,0.9572242591622622
5.405003,0.9640615489149668,0.9576210656635399
5.5098124,0.9639454723044039,0.958081361205022
4.9030066,0.9652534575258696,0.9572877482024665
5.0380116,0.9644777260308877,0.9578591495643065
5.271383,0.9652251461574395,0.9575417043632843
5.695358,0.963132936030463,0.9565893687602177
5.2364974,0.9636029047464009,0.9563989016396045
4.8014426,0.9654318191469785,0.9583035728457375
4.2371054,0.9654148323259205,0.9559862228782756
4.9675326,0.967051229421174,0.9580972334650731
4.993905,0.9662811601998783,0.9583511896258908
4.773309,0.9665642738841782,0.959255908448804
4.991935,0.9665614427473352,0.9594146310493151
4.7465944,0.9681751907478447,0.9594463755694174
4.8367424,0.9669436462211402,0.9594146310493151
5.0474176,0.9662924847472503,0.9601923717918195
4.8065634,0.9681893464320598,0.9593511420091106
4.614853,0.9666746882210552,0.9587956129073218
4.195006,0.9686989510637997,0.9599225433709506
4.9044943,0.9665586116104922,0.9590019522879862
4.188662,0.96708520306329,0.9597320762503373
4.073391,0.9682997607689368,0.9597320762503373
3.7781415,0.9695766034851294,0.958240083805533
4.00434,0.9699786249168354,0.9604145834325349
4.1588135,0.9699786249168354,0.9605415615129438
4.080174,0.9695737723482865,0.9606685395933527
4.15248,0.9701031949379273,0.9607002841134549
3.9662805,0.9704004643064422,0.9600971382315128
4.059384,0.9702022847274323,0.9617161087567259
4.177512,0.9697577962430814,0.9618430868371347
3.9858391,0.971558399275229,0.9615573861562148
3.7645853,0.9698483926220574,0.9610653460946305
3.4666007,0.9719151225174468,0.9623827436788724
4.1175966,0.9687923785796186,0.9606209228131993
3.4908788,0.9693444502640035,0.9602241163119216
3.4743886,0.971527256769956,0.9619065758773392
3.1977644,0.9722548589386067,0.9603510943923306
3.3453996,0.9724275582860298,0.9613669190356015
3.5462172,0.9723511175912688,0.9617954700569814
3.4832332,0.9722293787070198,0.9633192070218879
3.4559214,0.9725917642229237,0.9628430392203546
3.3544536,0.9725238169386917,0.9605891782930972
3.4401298,0.9723822600965417,0.9631287399012746
3.4473345,0.9722718457596647,0.9620494262177991
3.4816606,0.9731834718231106,0.9621922765582591
3.1367254,0.9720906530017128,0.9621129152580036
2.9113827,0.9732400945599705,0.9616843642366236
3.2988553,0.9720170434437948,0.9629382727806612
3.0447714,0.971442322664666,0.9611129628747838
3.0052357,0.9728890335914386,0.9620494262177991
2.8226688,0.9735317016547995,0.9610970906147326
2.87843,0.9736251291706185,0.9623033823786169
3.019671,0.9738402955706864,0.9627795501801502
3.0263379,0.9734495986863525,0.9631446121613256
2.9869945,0.9738572823917444,0.96335095154199
2.9118166,0.9735458573390144,0.9607796454137104
2.9952064,0.9739676967286214,0.9625255940193325
2.9445305,0.9741262403918294,0.9625255940193325
2.7413187,0.9745169372761633,0.9623033823786169
2.5992491,0.9743017708760953,0.9625097217592813
2.7044594,0.9737893351075124,0.9626843166198435
3.0190408,0.9721104709596138,0.962906528260559
2.7443264,0.9725776085387087,0.9611764519149881
2.5646784,0.9744942881814193,0.9611129628747838
2.5443747,0.9741064224339283,0.9610336015745282
2.6426473,0.9746669875288422,0.962906528260559
2.834188,0.9743725492971703,0.9639064806437788
2.5882223,0.9748113755078351,0.9638906083837278
2.5863116,0.9742564726866073,0.9614938971160103
2.6514978,0.9744348343077163,0.9626843166198435
2.5984654,0.9750944891921351,0.9624938494992302
2.530131,0.9754342256132951,0.9624462327190769
2.3233702,0.9751114760131931,0.9614304080758059
2.28065,0.9752813442237731,0.962462104979128
2.4381127,0.9746415072972552,0.9625573385394346
2.6322393,0.9736336225811475,0.96349380188245
2.4945967,0.9734920657389975,0.9610494738345793
2.3424563,0.9752502017185001,0.961589130676317
2.3116574,0.9746415072972552,0.9612399409551926
2.4079232,0.975369109465906,0.9629541450407123
2.570288,0.9753011621816741,0.9637477580432677
2.3320644,0.975405914244865,0.9634620573623478
2.4121943,0.9743640558866413,0.961001857054426
2.3978407,0.9753832651501211,0.9627636779200991
2.3483343,0.975802273402885,0.9624462327190769
2.2851565,0.9760712314029698,0.9629224005206102
2.1520731,0.975892869781861,0.9616050029363681
2.0746818,0.9758900386450179,0.9625414662793835
2.2495813,0.9754257322027661,0.962906528260559
2.3137708,0.9750378664552751,0.96349380188245
2.3212273,0.9740922667497134,0.9610494738345793
2.2072163,0.975329473550104,0.9612240686951415
2.1782117,0.9758475715923729,0.9625097217592813
2.326877,0.9760627379924408,0.96335095154199
2.2668204,0.9763062157609388,0.9642715426249544
2.168366,0.9760825559503419,0.9635890354427566
2.2038848,0.975785286581827,0.9607479008936083
2.2447023,0.9759664793397789,0.9630969953811723
2.1808014,0.9764647594241468,0.9625255940193325
2.114466,0.9764845773820477,0.963049378601019
2.043353,0.9763430205398977,0.9613193022554481
1.9292651,0.9764675905609898,0.9629224005206102
2.0983481,0.975672041108107,0.9621922765582591
2.1421347,0.975697521339694,0.9629858895608145
2.17393,0.9746131959288252,0.9605256892528927
2.0906558,0.975751312939711,0.9607479008936083
2.0214043,0.9760712314029698,0.9621922765582591
2.2110844,0.9764477726030888,0.9633668238020412
2.1124094,0.9768186515295216,0.9644937542656699
2.0757184,0.9762892289398808,0.9622557655984636
2.0911944,0.9760740625398129,0.9613193022554481
2.0892806,0.9767337174242317,0.9630811231211213
2.029074,0.9768837676769107,0.9627160611399457
1.9929452,0.9765496935294368,0.9628589114804057
1.9615369,0.9766204719505117,0.9617954700569814
1.8227124,0.9769885197401016,0.9629382727806612
1.9710321,0.9762212816556488,0.9616208751964193
1.9741905,0.975892869781861,0.9627160611399457
2.0512152,0.9753747717395921,0.961589130676317
1.9912153,0.9757286638449669,0.960859006713966
1.9244789,0.9764732528346758,0.963049378601019
2.0992205,0.9767960024347777,0.9630811231211213
1.9884048,0.9769488838242997,0.9639382251638811
2.0062947,0.9765270444346927,0.9627795501801502
2.0036733,0.9763373582662118,0.961017729314477
1.9768538,0.9770932718032926,0.9625414662793835
1.9251169,0.9772518154665005,0.9621446597781058
1.9313934,0.9768526251716376,0.962033553957748
1.9039407,0.9766006539926108,0.962477977239179
1.7641732,0.9773225938875756,0.9628271669603035
2.0746567,0.9760910493608709,0.9623986159389235
1.8840396,0.975790948855513,0.9616208751964193
1.8516945,0.9770961029401356,0.9626208275796391
1.7678796,0.97573149498181,0.9596527149500818
1.8259516,0.9770139999716886,0.9622875101185658
1.9176592,0.9769687017822006,0.9617161087567259
1.8146746,0.9773084382033606,0.9634620573623478
1.922147,0.9767818467505627,0.9614145358157548
1.908818,0.9767591976558186,0.9618430868371347
1.8778454,0.9773763854875925,0.9620018094376458
1.8138732,0.9776849794034794,0.9630017618208657
1.7000443,0.9771866993191116,0.9623668714188214
1.6616185,0.9772574777401866,0.962017681697697
1.7979299,0.9762524241609218,0.9613827912956526
1.8413391,0.9764166300978158,0.9625732107994858
1.8933877,0.9757286638449669,0.9606526673333016
1.8517863,0.9765751737610238,0.959684459470184
1.7427533,0.9768752742663817,0.9623351268987191
1.916643,0.9771300765822516,0.9625255940193325
1.8099148,0.9772886202454596,0.9629382727806612
1.7652347,0.9767252240137027,0.962604955319588
1.867928,0.9766034851294537,0.9598907988508484
1.868058,0.9771414011296236,0.9630652508610701
1.7714107,0.9776368500771485,0.9618272145770836
1.7144989,0.9775122800560565,0.9626684443597924
1.7290411,0.9770677915717056,0.9608113899338127
1.5825973,0.9774273459507665,0.9627478056600479
1.6981037,0.9768044958453067,0.961017729314477
1.7056558,0.9761674900556319,0.9617795977969303
1.8122294,0.9764987330662628,0.9610970906147326
1.7560804,0.9760259332134819,0.9600177769312572
1.7047179,0.9774698130034115,0.9631922289414789
1.8166572,0.9770706227085486,0.962176404298208
1.7480351,0.9774443327718245,0.9634620573623478
1.7592205,0.9773084382033606,0.9616208751964193
1.7833533,0.9773565675296916,0.9604622002126882
1.7399156,0.9776538368982065,0.9627478056600479
1.7021283,0.9777953937403564,0.9622716378585147
1.647342,0.9773112693402035,0.9619541926574925
1.6832187,0.9771810370454256,0.9606526673333016
1.5475498,0.9775292668771145,0.9623033823786169
1.6356649,0.9772659711507156,0.9613510467755504
1.6422956,0.9766289653610407,0.9616684919765726
1.712362,0.9766091474031398,0.9606050505531483
1.6591527,0.9763118780346248,0.9591924194085996
1.6186489,0.9777047973613805,0.9625097217592813
1.6717507,0.9772716334244016,0.9613827912956526
1.6721349,0.9774754752770975,0.9631446121613256
1.7191396,0.9774386704981385,0.9623351268987191
1.7192447,0.9772263352349135,0.9609066234941194
1.6941103,0.9776934728140084,0.9619224481373903
1.641749,0.9774415016349816,0.9621287875180548
1.5343816,0.9778718344351174,0.9607955176737616
1.542199,0.9774641507297255,0.9620494262177991
1.5554627,0.9774669818665686,0.9603352221322794
1.8792531,0.975867389550274,0.9613510467755504
1.6022618,0.9766544455926277,0.9617002364966748
